Name,Position,Club,Market Value,Age,Primary Nationality,Secondary Nationality,Matches Played,Goals,Assists,Yellow Cards,Red Cards,Substituted In,Substituted Out,Second Yellow Cards,Own Goals
Emile Smith Rowe,Attacking Midfield,Fulham FC,28000000,24,England,-,10,2,1,1,0,3,7,0,0
Yoane Wissa,Centre-Forward,Brentford FC,28000000,28,DR Congo,France,6,3,1,1,0,2,3,0,0
Deniz Undav,Centre-Forward,VfB Stuttgart,28000000,28,Germany,Türkiye,13,9,2,1,0,3,7,0,0
Ermedin Demirovic,Centre-Forward,VfB Stuttgart,28000000,26,Bosnia-Herzegovina,-,14,7,1,3,0,3,8,0,0
Denis Zakaria,Defensive Midfield,AS Monaco,28000000,27,Switzerland,DR Congo,12,3,1,2,0,2,3,0,0
Malcom,Right Winger,Al-Hilal SFC,28000000,27,Brazil,Russia,8,2,4,1,0,0,6,0,0
Mathias Jensen,Central Midfield,Brentford FC,28000000,28,Denmark,-,4,0,1,1,0,1,2,0,0
Taiwo Awoniyi,Centre-Forward,Nottingham Forest,28000000,27,Nigeria,-,5,0,0,0,0,3,1,0,0
Manuel Locatelli,Defensive Midfield,Juventus FC,28000000,26,Italy,-,8,0,0,2,0,0,6,0,0
Joe Gomez,Centre-Back,Liverpool FC,28000000,27,England,The Gambia,4,0,0,0,0,3,0,0,0
Xaver Schlager,Central Midfield,RB Leipzig,28000000,27,Austria,-,0,0,0,0,0,0,0,0,0
Stanislav Lobotka,Defensive Midfield,SSC Napoli,28000000,29,Slovakia,-,13,0,1,2,0,0,6,0,0
Luke Shaw,Left-Back,Manchester United,28000000,29,England,-,0,0,0,0,0,0,0,0,0
Jan Oblak,Goalkeeper,Atlético de Madrid,28000000,31,Slovenia,-,14,0,0,0,0,0,0,0,0
Emiliano Martínez,Goalkeeper,Aston Villa,28000000,32,Argentina,Spain,10,0,0,1,0,0,0,0,0
Alisson,Goalkeeper,Liverpool FC,28000000,32,Brazil,-,8,0,0,0,0,0,1,0,0
Aleksandar Mitrović,Centre-Forward,Al-Hilal SFC,28000000,30,Serbia,-,14,15,2,2,0,1,3,0,0
Thiago Almada,Attacking Midfield,Botafogo de Futebol e Regatas,27000000,23,Argentina,Italy,0,0,0,0,0,0,0,0,0
Galeno,Left Winger,FC Porto,27000000,26,Brazil,Portugal,11,8,0,1,0,1,3,0,0
Frank Anguissa,Central Midfield,SSC Napoli,27000000,28,Cameroon,-,10,1,0,3,0,1,0,0,0
Olivier Boscagli,Centre-Back,PSV Eindhoven,27000000,26,France,Monaco,11,0,3,0,0,0,1,0,0
Oscar Gloukh,Attacking Midfield,Red Bull Salzburg,25000000,20,Israel,-,18,5,4,1,0,4,5,0,0
Arthur Vermeeren,Central Midfield,RB Leipzig,25000000,19,Belgium,-,8,0,0,1,0,5,3,0,0
Archie Gray,Central Midfield,Tottenham Hotspur,25000000,18,England,Scotland,8,0,0,0,0,5,0,0,0
Karim Konaté,Centre-Forward,Red Bull Salzburg,25000000,20,Cote d'Ivoire,-,9,5,1,0,0,2,2,0,0
André,Defensive Midfield,Wolverhampton Wanderers,25000000,23,Brazil,-,6,0,0,2,0,1,3,0,0
Igor Thiago,Centre-Forward,Brentford FC,25000000,23,Brazil,Bulgaria,0,0,0,0,0,0,0,0,0
Tyrick Mitchell,Left-Back,Crystal Palace,25000000,25,England,Jamaica,9,0,1,0,0,0,2,0,0
Lesley Ugochukwu,Defensive Midfield,Southampton FC,25000000,20,France,Nigeria,5,0,0,0,0,1,4,0,0
Brajan Gruda,Right Winger,Brighton & Hove Albion,25000000,20,Germany,Albania,1,0,0,0,0,1,0,0,0
Gabri Veiga,Central Midfield,Al-Ahli SFC,25000000,22,Spain,-,11,2,1,2,0,4,3,0,0
Matías Soulé,Right Winger,AS Roma,25000000,21,Argentina,Italy,8,0,0,1,0,2,6,0,0
Marcos Leonardo,Centre-Forward,Al-Hilal SFC,25000000,21,Brazil,-,10,5,0,1,0,3,5,0,0
Oscar Bobb,Right Winger,Manchester City,25000000,21,Norway,The Gambia,1,0,1,0,0,0,1,0,0
Wilfried Singo,Centre-Back,AS Monaco,25000000,23,Cote d'Ivoire,-,8,0,1,0,0,2,0,0,0
Yan Couto,Right-Back,Borussia Dortmund,25000000,22,Brazil,Portugal,7,0,1,2,0,4,2,0,0
Aaron Hickey,Right-Back,Brentford FC,25000000,22,Scotland,-,0,0,0,0,0,0,0,0,0
Anthony Elanga,Right Winger,Nottingham Forest,25000000,22,Sweden,Cameroon,10,0,1,1,0,5,4,0,0
Radu Drăgușin,Centre-Back,Tottenham Hotspur,25000000,22,Romania,-,8,1,0,1,1,1,1,0,0
Kang-in Lee,Attacking Midfield,Paris Saint-Germain,25000000,23,"Korea, South",-,10,4,0,0,0,5,2,0,0
Anatoliy Trubin,Goalkeeper,SL Benfica,25000000,23,Ukraine,-,13,0,0,0,0,0,0,0,0
Miguel Gutiérrez,Left-Back,Girona FC,25000000,23,Spain,-,11,0,1,0,0,0,0,0,0
Federico Gatti,Centre-Back,Juventus FC,25000000,26,Italy,-,9,0,0,1,0,1,3,0,0
Folarin Balogun,Centre-Forward,AS Monaco,25000000,23,United States,England,10,3,2,2,0,3,4,0,0
Edon Zhegrova,Right Winger,LOSC Lille,25000000,25,Kosovo,Germany,15,7,1,2,0,2,6,0,0
Wesley Fofana,Centre-Back,Chelsea FC,25000000,23,France,Cote d'Ivoire,7,0,0,5,0,0,1,0,0
Facundo Medina,Centre-Back,RC Lens,25000000,25,Argentina,-,9,0,0,4,1,0,1,0,0
Nathan Collins,Centre-Back,Brentford FC,25000000,23,Ireland,-,13,1,0,1,0,1,0,0,0
Malik Tillman,Attacking Midfield,PSV Eindhoven,25000000,22,United States,Germany,16,4,2,2,0,3,7,0,0
Mattéo Guendouzi,Central Midfield,SS Lazio,25000000,25,France,Morocco,12,2,1,2,0,1,4,0,0
Lucas Chevalier,Goalkeeper,LOSC Lille,25000000,22,France,-,14,0,0,0,0,0,0,0,0
Rodrigo Riquelme,Left Winger,Atlético de Madrid,25000000,24,Spain,-,9,0,0,0,0,5,3,0,0
Yann Bisseck,Centre-Back,Inter Milan,25000000,23,Germany,Cameroon,5,0,0,1,0,1,2,0,0
Jørgen Strand Larsen,Centre-Forward,Wolverhampton Wanderers,25000000,24,Norway,-,12,3,2,0,0,4,6,0,0
Amine Gouiri,Centre-Forward,Stade Rennais FC,25000000,24,Algeria,France,8,1,1,0,0,3,2,0,0
Andriy Lunin,Goalkeeper,Real Madrid,25000000,25,Ukraine,-,2,0,0,0,0,0,0,0,0
Yangel Herrera,Central Midfield,Girona FC,25000000,26,Venezuela,Spain,10,1,1,4,0,1,5,0,1
Evan Ndicka,Centre-Back,AS Roma,25000000,25,Cote d'Ivoire,France,9,0,0,0,0,0,0,0,0
Antonee Robinson,Left-Back,Fulham FC,25000000,27,United States,England,10,0,2,1,0,0,2,0,0
Sean Longstaff,Central Midfield,Newcastle United,25000000,26,England,-,9,0,0,2,0,4,3,0,0
Tammy Abraham,Centre-Forward,AC Milan,25000000,27,England,Nigeria,9,1,2,0,0,4,5,0,0
Vangelis Pavlidis,Centre-Forward,SL Benfica,25000000,25,Greece,-,13,4,2,1,0,2,8,0,0
David Raum,Left-Back,RB Leipzig,25000000,26,Germany,-,11,0,1,2,0,0,5,0,0
Hee-chan Hwang,Centre-Forward,Wolverhampton Wanderers,25000000,28,"Korea, South",-,8,0,0,0,0,5,2,0,0
Kevin Danso,Centre-Back,RC Lens,25000000,26,Austria,-,4,0,0,1,0,0,0,0,0
Gianluca Mancini,Centre-Back,AS Roma,25000000,28,Italy,-,8,0,0,1,0,0,1,0,0
Iñaki Williams,Right Winger,Athletic Bilbao,25000000,30,Ghana,Spain,12,4,4,0,0,1,3,0,0
Alex Iwobi,Left Winger,Fulham FC,25000000,28,Nigeria,England,10,1,1,0,0,2,3,0,0
Alexander Sørloth,Centre-Forward,Atlético de Madrid,25000000,28,Norway,-,16,5,4,0,0,5,10,0,0
Otávio,Attacking Midfield,Al-Nassr FC,25000000,29,Portugal,Brazil,13,0,1,2,0,1,4,0,0
Fabinho,Defensive Midfield,Al-Ittihad Club,25000000,30,Brazil,-,8,1,0,2,0,0,1,0,0
Álex Remiro,Goalkeeper,Real Sociedad,25000000,29,Spain,-,12,0,0,0,0,0,0,0,0
Ruben Loftus-Cheek,Central Midfield,AC Milan,25000000,28,England,Guyana,9,0,0,1,0,3,1,0,0
João Cancelo,Right-Back,Al-Hilal SFC,25000000,30,Portugal,-,9,1,3,1,0,0,5,0,0
Kurt Zouma,Centre-Back,Al-Orobah FC,25000000,29,France,Central African Republic,5,0,0,0,0,0,0,0,0
Antoine Griezmann,Centre-Forward,Atlético de Madrid,25000000,33,France,-,14,4,5,1,0,3,8,0,0
Thibaut Courtois,Goalkeeper,Real Madrid,25000000,32,Belgium,-,11,0,0,0,0,0,0,0,1
Antonio Rüdiger,Centre-Back,Real Madrid,25000000,31,Germany,Sierra Leone,15,1,0,2,0,1,0,0,0
Lionel Messi,Right Winger,Inter Miami CF,25000000,37,Argentina,Spain,0,0,0,0,0,0,0,0,0
Luis Guilherme,Right Winger,West Ham United,24000000,18,Brazil,-,2,0,0,0,0,1,1,0,0
Lewis Ferguson,Attacking Midfield,Bologna FC 1909,24000000,25,Scotland,-,0,0,0,0,0,0,0,0,0
Weston McKennie,Central Midfield,Juventus FC,24000000,26,United States,-,6,1,0,1,0,2,3,0,0
Waldemar Anton,Centre-Back,Borussia Dortmund,24000000,28,Germany,-,13,1,0,3,0,4,0,0,0
Quilindschy Hartman,Left-Back,Feyenoord Rotterdam,23000000,22,Netherlands,Curacao,0,0,0,0,0,0,0,0,0
Daniel Muñoz,Right-Back,Crystal Palace,23000000,28,Colombia,-,9,0,0,2,0,0,3,0,0
Pedro,Centre-Forward,CR Flamengo,23000000,27,Brazil,-,0,0,0,0,0,0,0,0,0
Trincão,Right Winger,Sporting CP,23000000,24,Portugal,-,13,3,5,0,0,1,8,0,0
Nathan Tella,Right Midfield,Bayer 04 Leverkusen,23000000,25,Nigeria,England,7,0,0,0,0,4,3,0,0
Carlos Baleba,Defensive Midfield,Brighton & Hove Albion,22000000,20,Cameroon,-,9,2,2,1,0,1,4,0,0
Lewis Miley,Central Midfield,Newcastle United,22000000,18,England,-,0,0,0,0,0,0,0,0,0
Antonio Nusa,Left Winger,RB Leipzig,22000000,19,Norway,Nigeria,18,2,3,0,0,8,8,0,0
Michael Kayode,Right-Back,ACF Fiorentina,22000000,20,Italy,Nigeria,5,0,0,0,0,3,2,0,0
Lewis Hall,Left-Back,Newcastle United,22000000,20,England,-,11,0,2,4,0,4,2,0,0
Julio Enciso,Attacking Midfield,Brighton & Hove Albion,22000000,20,Paraguay,-,8,0,1,0,0,6,2,0,0
Jarell Quansah,Centre-Back,Liverpool FC,22000000,21,England,Scotland,3,0,0,2,0,0,2,0,1
Aitor Paredes,Centre-Back,Athletic Bilbao,22000000,24,Spain,-,7,2,0,1,0,0,1,1,0
Carlos Augusto,Left-Back,Inter Milan,22000000,25,Brazil,Italy,8,0,1,0,0,5,0,0,0
Dwight McNeil,Left Winger,Everton FC,22000000,24,England,-,10,4,3,1,0,0,1,0,0
Jan Paul van Hecke,Centre-Back,Brighton & Hove Albion,22000000,24,Netherlands,-,7,0,1,1,0,2,0,0,0
Elliot Anderson,Central Midfield,Nottingham Forest,22000000,21,England,Scotland,9,0,1,1,0,2,7,0,0
Bart Verbruggen,Goalkeeper,Brighton & Hove Albion,22000000,22,Netherlands,-,11,0,0,2,0,0,0,0,0
Zeno Debast,Centre-Back,Sporting CP,22000000,20,Belgium,-,15,1,1,1,0,4,3,0,0
Fábio Vieira,Attacking Midfield,FC Porto,22000000,24,Portugal,-,3,0,0,0,0,3,0,0,0
Amad Diallo,Right Winger,Manchester United,22000000,22,Cote d'Ivoire,Italy,10,1,1,1,0,3,6,0,0
Jesper Lindstrøm,Attacking Midfield,Everton FC,22000000,24,Denmark,-,7,0,1,1,0,2,3,0,0
James Garner,Defensive Midfield,Everton FC,22000000,23,England,-,5,0,0,1,0,2,1,0,0
Yunus Musah,Central Midfield,AC Milan,22000000,21,United States,England,10,1,1,0,0,5,5,0,0
Taylor Harwood-Bellis,Centre-Back,Southampton FC,22000000,22,England,-,10,2,0,3,0,1,3,0,0
Morgan Rogers,Attacking Midfield,Aston Villa,22000000,22,England,-,11,4,2,2,0,0,4,0,0
Francisco Conceição,Right Winger,Juventus FC,22000000,21,Portugal,-,5,2,1,1,0,3,1,1,0
Crysencio Summerville,Left Winger,West Ham United,22000000,22,Netherlands,Suriname,9,0,0,0,0,6,2,0,0
Kevin Schade,Left Winger,Brentford FC,22000000,22,Germany,Nigeria,11,0,1,0,0,4,6,0,0
Marcos Senesi,Centre-Back,AFC Bournemouth,22000000,27,Argentina,Italy,7,0,0,3,0,0,1,0,0
Youssef En-Nesyri,Centre-Forward,Fenerbahce,22000000,27,Morocco,-,12,1,0,1,0,8,4,0,0
Aaron Ramsdale,Goalkeeper,Southampton FC,22000000,26,England,-,6,0,0,0,0,0,0,0,0
Callum Hudson-Odoi,Left Winger,Nottingham Forest,22000000,23,England,Ghana,8,1,0,1,0,3,4,0,0
Dan Ndoye,Right Winger,Bologna FC 1909,22000000,23,Switzerland,Senegal,10,0,1,0,0,1,6,0,0
Sergiño Dest,Right-Back,PSV Eindhoven,22000000,23,United States,Netherlands,0,0,0,0,0,0,0,0,0
Igor Zubeldia,Centre-Back,Real Sociedad,22000000,27,Spain,-,9,0,0,2,0,0,2,0,0
Kalvin Phillips,Defensive Midfield,Ipswich Town,22000000,28,England,Jamaica,6,0,0,1,0,0,5,0,0
Konstantinos Tsimikas,Left-Back,Liverpool FC,22000000,28,Greece,-,10,0,1,2,0,5,2,0,0
Pepelu,Defensive Midfield,Valencia CF,22000000,26,Spain,-,9,0,1,4,0,0,2,0,0
Ben Chilwell,Left-Back,Chelsea FC,22000000,27,England,New Zealand,1,0,0,0,0,1,0,0,0
Dominic Calvert-Lewin,Centre-Forward,Everton FC,22000000,27,England,-,8,2,1,1,0,0,3,0,0
Ferland Mendy,Left-Back,Real Madrid,22000000,29,France,Senegal,11,0,0,1,1,1,4,0,0
Sofyan Amrabat,Defensive Midfield,Fenerbahce,22000000,28,Morocco,Netherlands,10,0,1,1,0,3,0,0,0
Lorenzo Pellegrini,Attacking Midfield,AS Roma,22000000,28,Italy,-,10,0,1,1,1,2,5,0,0
Chris Führich,Left Winger,VfB Stuttgart,22000000,26,Germany,-,12,0,0,0,0,7,5,0,0
Vitaly Janelt,Defensive Midfield,Brentford FC,22000000,26,Germany,-,9,0,1,1,0,0,6,0,0
José María Giménez,Centre-Back,Atlético de Madrid,22000000,29,Uruguay,Spain,11,1,0,3,0,3,0,0,0
Patrik Schick,Centre-Forward,Bayer 04 Leverkusen,22000000,28,Czech Republic,-,10,1,0,0,0,7,2,0,0
James Ward-Prowse,Central Midfield,Nottingham Forest,22000000,29,England,-,6,0,0,0,0,1,3,1,0
Piotr Zieliński,Central Midfield,Inter Milan,22000000,30,Poland,Italy,10,2,0,1,0,4,4,0,0
Leon Goretzka,Central Midfield,Bayern Munich,22000000,29,Germany,-,4,1,0,0,0,4,0,0,0
Jordan Pickford,Goalkeeper,Everton FC,22000000,30,England,-,12,0,0,1,0,0,0,0,0
Barış Alper Yılmaz,Right Winger,Galatasaray,21000000,24,Türkiye,-,16,4,1,2,0,3,9,1,0
Jeanuël Belocian,Centre-Back,Bayer 04 Leverkusen,20000000,19,France,Guadeloupe,6,0,0,1,0,3,2,0,0
Habib Diarra,Attacking Midfield,RC Strasbourg Alsace,20000000,20,Senegal,France,8,2,0,1,0,0,4,0,0
Jack Hinshelwood,Right-Back,Brighton & Hove Albion,20000000,19,England,-,10,1,0,3,0,0,1,0,0
Alex Scott,Central Midfield,AFC Bournemouth,20000000,21,England,Guernsey,10,0,0,1,0,6,4,0,0
Javi Guerra,Central Midfield,Valencia CF,20000000,21,Spain,-,8,0,0,1,0,3,5,0,0
Dango Ouattara,Left Winger,AFC Bournemouth,20000000,22,Burkina Faso,-,8,1,1,0,0,4,4,0,0
Vanderson,Right-Back,AS Monaco,20000000,23,Brazil,-,8,1,3,2,0,1,5,0,0
Rodrigo Muniz,Centre-Forward,Fulham FC,20000000,23,Brazil,-,8,1,1,0,0,4,4,0,0
Alberto Moleiro,Attacking Midfield,UD Las Palmas,20000000,21,Spain,Cuba,9,3,0,1,0,1,5,0,0
Milos Kerkez,Left-Back,AFC Bournemouth,20000000,20,Hungary,Serbia,10,0,0,2,0,1,3,0,0
Loïc Badé,Centre-Back,Sevilla FC,20000000,24,France,Cote d'Ivoire,7,0,0,2,0,1,0,0,0
Georges Mikautadze,Centre-Forward,Olympique Lyon,20000000,23,Georgia,France,13,1,1,0,0,6,4,0,0
Jacob Greaves,Centre-Back,Ipswich Town,20000000,24,England,-,7,0,0,1,0,0,0,0,0
Johnny Cardoso,Defensive Midfield,Real Betis Balompié,20000000,23,United States,Italy,11,0,0,1,0,4,3,0,0
Orri Óskarsson,Centre-Forward,Real Sociedad,20000000,20,Iceland,-,24,11,1,2,0,9,8,0,0
El Bilal Touré,Centre-Forward,VfB Stuttgart,20000000,23,Mali,Cote d'Ivoire,8,1,0,0,0,7,1,0,0
Beñat Turrientes,Central Midfield,Real Sociedad,20000000,22,Spain,-,10,0,0,2,0,4,3,0,0
Enzo Le Fée,Central Midfield,AS Roma,20000000,24,France,-,2,0,0,0,0,1,1,0,0
Manu Koné,Central Midfield,AS Roma,20000000,23,France,Cote d'Ivoire,10,0,0,3,0,4,2,0,0
Matteo Ruggeri,Left Midfield,Atalanta BC,20000000,22,Italy,-,8,0,1,0,0,1,3,0,0
Ander Barrenetxea,Left Winger,Real Sociedad,20000000,22,Spain,-,9,1,1,1,0,5,4,0,0
Rayan Cherki,Attacking Midfield,Olympique Lyon,20000000,21,France,Algeria,6,2,3,3,0,2,4,0,0
Toti,Centre-Back,Wolverhampton Wanderers,20000000,25,Portugal,Guinea-Bissau,7,0,1,3,0,1,0,0,0
Antony,Right Winger,Manchester United,20000000,24,Brazil,-,4,1,0,0,0,3,0,0,0
Beto,Centre-Forward,Everton FC,20000000,26,Guinea-Bissau,Portugal,7,3,1,0,0,4,1,0,0
Arnaud Kalimuendo,Centre-Forward,Stade Rennais FC,20000000,22,France,DR Congo,7,3,1,0,0,1,4,0,0
Pierre Kalulu,Centre-Back,Juventus FC,20000000,24,France,DR Congo,8,0,0,0,0,1,1,0,0
Filip Jørgensen,Goalkeeper,Chelsea FC,20000000,22,Denmark,Sweden,4,0,0,0,0,0,0,0,0
Antoine Semenyo,Right Winger,AFC Bournemouth,20000000,24,Ghana,England,9,3,1,3,0,1,2,0,0
Martin Baturina,Attacking Midfield,GNK Dinamo Zagreb,20000000,21,Croatia,-,16,3,8,2,0,2,13,0,0
Leonardo Balerdi,Centre-Back,Olympique Marseille,20000000,25,Argentina,Italy,4,0,0,1,0,0,0,1,0
Strahinja Pavlović,Centre-Back,AC Milan,20000000,23,Serbia,-,10,1,0,2,1,1,0,0,0
Gabriel Sara,Central Midfield,Galatasaray,20000000,25,Brazil,-,12,2,3,0,0,1,5,0,0
